iter	RMSE
0	11615.53489
1	11535.25124
2	11447.38703
3	11367.22633
4	11286.52715
5	11202.29111
6	11118.61177
7	11038.64676
8	10955.22498
9	10892.93863
10	10819.60683
11	10742.0744
12	10670.61707
13	10590.31898
14	10511.41115
15	10437.16563
16	10361.76751
17	10289.2109
18	10213.71345
19	10143.01649
20	10073.61302
21	10002.50121
22	9933.833136
23	9875.935227
24	9809.284009
25	9742.093671
26	9673.973969
27	9609.42894
28	9544.656428
29	9486.106901
30	9426.243863
31	9370.499256
32	9313.897605
33	9251.698906
34	9188.213411
35	9133.446333
36	9073.874643
37	9014.892085
38	8956.270566
39	8900.63158
40	8842.04102
41	8782.72066
42	8729.155925
43	8674.688186
44	8621.103248
45	8574.080825
46	8526.823179
47	8477.461005
48	8426.00618
49	8375.581984
50	8323.037849
51	8272.167557
52	8220.755513
53	8177.630416
54	8127.336025
55	8078.404029
56	8029.793215
57	7983.002016
58	7935.66513
59	7888.23468
60	7848.539493
61	7802.49866
62	7759.553828
63	7715.193419
64	7678.377715
65	7634.24248
66	7596.950882
67	7553.643658
68	7515.066531
69	7475.505475
70	7433.274968
71	7395.74301
72	7354.253145
73	7316.064465
74	7276.676713
75	7238.363447
76	7199.70131
77	7161.601639
78	7127.178144
79	7090.932219
80	7054.271501
81	7017.629665
82	6984.763651
83	6952.932759
84	6921.956427
85	6887.764228
86	6854.07048
87	6821.6191
88	6792.970571
89	6764.495964
90	6731.425984
91	6699.867444
92	6667.727006
93	6638.526412
94	6609.859117
95	6580.93485
96	6555.052682
97	6525.943684
98	6499.567073
99	6472.098498
100	6444.4116
101	6420.267784
102	6391.256154
103	6365.049184
104	6338.832823
105	6312.87443
106	6288.14532
107	6263.605205
108	6238.792269
109	6214.277951
110	6189.412323
111	6166.469764
112	6142.265486
113	6118.233303
114	6093.657096
115	6070.452512
116	6049.392002
117	6027.921638
118	6010.053984
119	5989.369144
120	5968.959487
121	5946.422942
122	5925.181743
123	5903.683239
124	5882.243946
125	5865.842008
126	5847.589848
127	5829.813876
128	5812.861
129	5793.216207
130	5777.564473
131	5762.320981
132	5744.273734
133	5724.809456
134	5706.531735
135	5692.443072
136	5676.31123
137	5657.574634
138	5640.50364
139	5623.032909
140	5606.825929
141	5591.288158
142	5575.062879
143	5561.382955
144	5546.126581
145	5530.34461
146	5517.849475
147	5504.2507
148	5490.266444
149	5478.268371
150	5463.717236
151	5450.655177
152	5438.241555
153	5425.525817
154	5410.038429
155	5395.428346
156	5381.628685
157	5369.332211
158	5357.394045
159	5344.212877
160	5334.05005
161	5321.047643
162	5310.843236
163	5301.380718
164	5289.388601
165	5277.300766
166	5266.227273
167	5254.565571
168	5242.158088
169	5231.937081
170	5221.881321
171	5212.732046
172	5203.337803
173	5193.155292
174	5183.886373
175	5173.571913
176	5164.595281
177	5155.225614
178	5144.86686
179	5135.557661
180	5126.666314
181	5118.06296
182	5109.523678
183	5100.882771
184	5094.003051
185	5085.144882
186	5077.417332
187	5068.842057
188	5059.448678
189	5050.965154
190	5043.323209
191	5035.80802
192	5027.165269
193	5019.612659
194	5012.129669
195	5003.680693
196	4996.383854
197	4988.262676
198	4982.281599
199	4975.430087
200	4967.629648
201	4961.530593
202	4955.498343
203	4949.290222
204	4941.507291
205	4934.261123
206	4928.38541
207	4924.15831
208	4919.12006
209	4912.687858
210	4906.126254
211	4898.645334
212	4893.337459
213	4886.216586
214	4879.110095
215	4874.012791
216	4868.264835
217	4861.372488
218	4855.563505
219	4849.905844
220	4847.169175
221	4842.549494
222	4837.775891
223	4832.06332
224	4826.715626
225	4822.240441
226	4817.765758
227	4813.149185
228	4808.648224
229	4803.893943
230	4798.876918
231	4793.993428
232	4789.106987
233	4784.609557
234	4780.057787
235	4775.228172
236	4771.348736
237	4767.733905
238	4763.772774
239	4759.922489
240	4755.468593
241	4752.210614
242	4746.944375
243	4742.849448
244	4738.738827
245	4735.132106
246	4731.558963
247	4727.054476
248	4722.928621
249	4718.302938
250	4715.425548
251	4711.272497
252	4708.529169
253	4705.346227
254	4701.768549
255	4697.808347
256	4694.459939
257	4690.519207
258	4687.278455
259	4684.859556
260	4681.888625
261	4678.336367
262	4675.944587
263	4673.060204
264	4669.350767
265	4666.417139
266	4663.97436
267	4660.684387
268	4658.315421
269	4656.464323
270	4653.402049
271	4650.024812
272	4647.23202
273	4643.816813
274	4640.564034
275	4638.848531
276	4636.174911
277	4633.980647
278	4631.035304
279	4628.058739
280	4625.260492
281	4622.909387
282	4620.426666
283	4618.385512
284	4616.880122
285	4614.488847
286	4611.552984
287	4609.333157
288	4607.519028
289	4605.308434
290	4602.607481
291	4600.557712
292	4598.085293
293	4597.314221
294	4595.816579
295	4593.780057
296	4591.673252
297	4589.341408
298	4587.888734
299	4586.05295
300	4584.220478
301	4582.610038
302	4580.966241
303	4578.394396
304	4576.572567
305	4574.870976
306	4573.157593
307	4570.963374
308	4569.184707
309	4567.31403
310	4565.572763
311	4563.691434
312	4561.649671
313	4559.422775
314	4557.51795
315	4555.835063
316	4554.101116
317	4551.893082
318	4550.121818
319	4547.858858
320	4545.867862
321	4544.235991
322	4542.761045
323	4541.672987
324	4540.487649
325	4538.491037
326	4537.015815
327	4535.529619
328	4534.086902
329	4532.62769
330	4530.997533
331	4530.074063
332	4528.832638
333	4527.487034
334	4526.287383
335	4524.881561
336	4523.38055
337	4521.496827
338	4520.112963
339	4518.771848
340	4517.186064
341	4515.886146
342	4514.734852
343	4513.133611
344	4511.776418
345	4510.373102
346	4508.480112
347	4507.217598
348	4505.639389
349	4504.724101
350	4503.353921
351	4502.205979
352	4500.853714
353	4499.143935
354	4497.968497
355	4496.993884
356	4496.183466
357	4494.761791
358	4493.577519
359	4492.189922
360	4491.09868
361	4489.853088
362	4488.778428
363	4487.596864
364	4485.868898
365	4485.243207
366	4483.860275
367	4481.852402
368	4480.62568
369	4479.648998
370	4478.020457
371	4477.116967
372	4475.80045
373	4474.407592
374	4473.460348
375	4471.778878
376	4471.143938
377	4469.663184
378	4468.785854
379	4467.95583
380	4466.999044
381	4466.087098
382	4465.045101
383	4463.938387
384	4462.672342
385	4461.253808
386	4460.452394
387	4459.91966
388	4458.961832
389	4457.931335
390	4456.890866
391	4455.746326
392	4454.816115
393	4453.91585
394	4453.035015
395	4452.248557
396	4451.206596
397	4450.333584
398	4449.603742
399	4448.59511
400	4447.806225
401	4446.734474
402	4445.994494
403	4445.25771
404	4444.513192
405	4442.91322
406	4442.270451
407	4441.643979
408	4441.494729
409	4440.74498
410	4440.202088
411	4439.41559
412	4438.924965
413	4438.330327
414	4437.769246
415	4437.117299
416	4436.486348
417	4434.885272
418	4433.963242
419	4433.355922
420	4432.635496
421	4431.872282
422	4431.280962
423	4430.570971
424	4430.005615
425	4429.224029
426	4428.692956
427	4428.221321
428	4427.524437
429	4427.175183
430	4426.350234
431	4425.711474
432	4425.043981
433	4424.389297
434	4423.584543
435	4423.115258
436	4422.347245
437	4421.698927
438	4420.914445
439	4420.241061
440	4419.550801
441	4418.826229
442	4417.969767
443	4417.112595
444	4416.416091
445	4415.802631
446	4414.966433
447	4414.224829
448	4413.70136
449	4413.210298
450	4412.770627
451	4411.905683
452	4411.37225
453	4410.785961
454	4410.31655
455	4409.206161
456	4408.428615
457	4406.499552
458	4406.328463
459	4405.673493
460	4404.727505
461	4404.238347
462	4403.260681
463	4402.773973
464	4400.961807
465	4400.258379
466	4399.681723
467	4399.264542
468	4398.663121
469	4398.237331
470	4397.179493
471	4396.488657
472	4396.005791
473	4395.288523
474	4394.598262
475	4393.625771
476	4393.226452
477	4392.745778
478	4392.526917
479	4391.932946
480	4391.342756
481	4390.85349
482	4390.451101
483	4390.024032
484	4388.572138
485	4387.980454
486	4387.480004
487	4386.621003
488	4386.163408
489	4385.617724
490	4385.106028
491	4384.280736
492	4383.793192
493	4383.135854
494	4382.748597
495	4382.262731
496	4381.81351
497	4381.339129
498	4380.963401
499	4379.86177
500	4379.211152
501	4378.734999
502	4378.205376
503	4377.746014
504	4376.8381
505	4376.04521
506	4375.349521
507	4374.920908
508	4374.263313
509	4373.583319
510	4372.481082
511	4371.322465
512	4370.967248
513	4370.38538
514	4369.213873
515	4368.745524
516	4368.29005
517	4366.834916
518	4366.180289
519	4365.59623
520	4365.044322
521	4364.473447
522	4364.135596
523	4363.924159
524	4363.549364
525	4363.204345
526	4362.559687
527	4362.155787
528	4361.075907
529	4360.922939
530	4359.959663
531	4359.383335
532	4359.04658
533	4358.484348
534	4358.244585
535	4357.87968
536	4357.492177
537	4356.857965
538	4356.386781
539	4355.904128
540	4355.219228
541	4354.795008
542	4354.525837
543	4353.386774
544	4352.773654
545	4352.463923
546	4351.930114
547	4351.441244
548	4350.817894
549	4350.104355
550	4349.467975
551	4349.239266
552	4348.644126
553	4348.217484
554	4347.865761
555	4347.460591
556	4347.133248
557	4346.661523
558	4346.026286
559	4345.430229
560	4344.868173
561	4344.547984
562	4344.216659
563	4343.985666
564	4343.55906
565	4342.883552
566	4342.47705
567	4341.877053
568	4341.579416
569	4341.194446
570	4340.874818
571	4339.936283
572	4339.352588
573	4338.941837
574	4338.709033
575	4338.459276
576	4338.129154
577	4337.82377
578	4337.180959
579	4336.811333
580	4336.383974
581	4335.665666
582	4335.264561
583	4334.828624
584	4334.471342
585	4334.106432
586	4333.70012
587	4333.462602
588	4333.081158
589	4332.351458
590	4332.060844
591	4331.81229
592	4331.386623
593	4330.901484
594	4330.380996
595	4330.12193
596	4329.836609
597	4329.273378
598	4328.939463
599	4328.775326
600	4328.49913
601	4327.591049
602	4327.026956
603	4326.685431
604	4326.380153
605	4326.116165
606	4324.532098
607	4324.19938
608	4323.733918
609	4323.563961
610	4323.164562
611	4322.785935
612	4322.314772
613	4320.773706
614	4320.369631
615	4320.020329
616	4319.617963
617	4319.082852
618	4318.634587
619	4317.923852
620	4317.691564
621	4317.372721
622	4316.868833
623	4316.600329
624	4315.626731
625	4315.244646
626	4314.764199
627	4314.300042
628	4314.038491
629	4313.649791
630	4313.289762
631	4312.787755
632	4312.520283
633	4312.055773
634	4311.79138
635	4311.495709
636	4310.869452
637	4310.750943
638	4310.307146
639	4310.05492
640	4309.753271
641	4309.493728
642	4308.916512
643	4308.257948
644	4307.728661
645	4306.964288
646	4306.537058
647	4306.09821
648	4305.922511
649	4305.428627
650	4304.788297
651	4304.386622
652	4303.954422
653	4303.524779
654	4303.016046
655	4302.618408
656	4302.412723
657	4301.828293
658	4301.786877
659	4301.446185
660	4301.047122
661	4300.649375
662	4300.24286
663	4299.97233
664	4299.090702
665	4298.798293
666	4298.383735
667	4298.034311
668	4297.440424
669	4297.208587
670	4296.855591
671	4296.449764
672	4295.944475
673	4295.583559
674	4295.337114
675	4294.494712
676	4293.894211
677	4293.258359
678	4292.922107
679	4292.704764
680	4292.394175
681	4291.740885
682	4291.430463
683	4290.762118
684	4289.82807
