iter	Passed	Remaining
0	3	3075
1	4	2283
2	5	1962
3	7	1759
4	8	1706
5	10	1697
6	13	1878
7	15	1898
8	17	1934
9	18	1829
10	20	1819
11	21	1780
12	23	1746
13	24	1732
14	26	1760
15	29	1795
16	31	1821
17	33	1809
18	34	1792
19	36	1769
20	37	1744
21	38	1722
22	40	1700
23	43	1766
24	45	1771
25	47	1766
26	48	1761
27	50	1750
28	51	1736
29	53	1724
30	54	1703
31	56	1708
32	59	1747
33	61	1749
34	63	1745
35	65	1745
36	66	1739
37	68	1730
38	69	1720
39	72	1739
40	74	1742
41	76	1738
42	77	1735
43	79	1731
44	81	1724
45	82	1713
46	83	1696
47	87	1737
48	89	1738
49	91	1737
50	92	1728
51	94	1723
52	95	1713
53	97	1705
54	99	1703
55	103	1745
56	105	1740
57	107	1739
58	108	1735
59	110	1728
60	111	1720
61	113	1710
62	116	1738
63	119	1743
64	120	1736
65	123	1748
66	125	1744
67	126	1736
68	128	1727
69	131	1749
70	134	1757
71	137	1775
72	139	1767
73	140	1758
74	141	1749
75	143	1740
76	146	1757
77	150	1773
78	153	1785
79	154	1776
80	155	1767
81	157	1759
82	160	1769
83	162	1772
84	165	1783
85	167	1775
86	168	1767
87	169	1758
88	171	1753
89	175	1778
90	177	1775
91	179	1773
92	181	1765
93	182	1759
94	184	1757
95	186	1754
96	189	1760
97	191	1758
98	192	1755
99	194	1750
100	195	1743
101	197	1736
102	198	1729
103	200	1724
104	201	1717
105	204	1722
106	205	1717
107	207	1717
108	209	1710
109	210	1704
110	211	1697
111	213	1691
112	215	1688
113	216	1685
114	219	1691
115	221	1690
116	223	1685
117	224	1678
118	225	1670
119	227	1665
120	228	1659
121	229	1653
122	231	1648
123	234	1654
124	236	1652
125	237	1647
126	238	1642
127	240	1637
128	241	1632
129	243	1626
130	244	1619
131	245	1614
132	247	1615
133	249	1614
134	251	1609
135	252	1602
136	253	1597
137	254	1592
138	256	1587
139	257	1583
140	259	1580
141	260	1575
142	263	1580
143	265	1577
144	266	1573
145	268	1568
146	269	1562
147	270	1558
148	272	1553
149	273	1549
150	274	1545
151	276	1541
152	279	1546
153	280	1542
154	282	1538
155	283	1534
156	285	1530
157	286	1526
158	287	1522
159	289	1518
160	290	1512
161	292	1514
162	294	1512
163	295	1507
164	297	1504
165	299	1502
166	300	1498
167	301	1494
168	303	1490
169	304	1486
170	305	1481
171	307	1482
172	309	1478
173	310	1474
174	312	1471
175	313	1467
176	314	1463
177	316	1459
178	317	1455
179	318	1452
180	320	1450
181	322	1450
182	323	1446
183	325	1444
184	327	1441
185	328	1437
186	329	1434
187	331	1431
188	332	1427
189	334	1424
190	336	1427
191	338	1424
192	339	1421
193	341	1418
194	343	1416
195	344	1414
196	346	1411
197	347	1409
198	349	1406
199	352	1408
200	353	1406
201	355	1403
202	357	1401
203	358	1399
204	360	1397
205	361	1394
206	363	1392
207	366	1396
208	368	1394
209	369	1391
210	371	1388
211	372	1385
212	373	1381
213	375	1378
214	376	1375
215	378	1372
216	379	1369
217	382	1371
218	383	1368
219	385	1366
220	386	1361
221	388	1359
222	389	1357
223	390	1354
224	392	1351
225	393	1348
226	396	1351
227	398	1350
228	400	1348
229	402	1347
230	404	1345
231	405	1343
232	408	1343
233	412	1350
234	414	1348
235	415	1346
236	416	1342
237	418	1340
238	420	1338
239	422	1336
240	423	1334
241	427	1339
242	429	1336
243	430	1334
244	432	1331
245	433	1328
246	434	1325
247	436	1323
248	438	1321
249	441	1324
250	443	1322
251	445	1322
252	447	1321
253	450	1322
254	458	1338
255	459	1335
256	461	1333
257	462	1330
258	464	1329
259	465	1326
260	467	1323
261	468	1320
262	470	1319
263	472	1317
264	474	1315
265	475	1312
266	477	1309
267	478	1306
268	479	1303
269	481	1300
270	482	1298
271	484	1295
272	486	1294
273	487	1292
274	489	1290
275	490	1286
276	492	1284
277	493	1281
278	495	1279
279	496	1277
280	498	1275
281	500	1274
282	502	1272
283	503	1270
284	505	1267
285	506	1264
286	507	1261
287	509	1259
288	510	1256
